image,mask
volume-116_614.png,segmentation-116_lesionmask_614.png
volume-124_286.png,segmentation-124_lesionmask_286.png
volume-103_534.png,segmentation-103_lesionmask_534.png
volume-129_91.png,segmentation-129_lesionmask_91.png
volume-108_183.png,segmentation-108_lesionmask_183.png
volume-90_449.png,segmentation-90_lesionmask_449.png
volume-119_36.png,segmentation-119_lesionmask_36.png
volume-97_463.png,segmentation-97_lesionmask_463.png
volume-26_92.png,segmentation-26_lesionmask_92.png
volume-91_25.png,segmentation-91_lesionmask_25.png
volume-102_416.png,segmentation-102_lesionmask_416.png
volume-80_175.png,segmentation-80_lesionmask_175.png
volume-93_414.png,segmentation-93_lesionmask_414.png
volume-90_336.png,segmentation-90_lesionmask_336.png
volume-70_304.png,segmentation-70_lesionmask_304.png
volume-95_467.png,segmentation-95_lesionmask_467.png
volume-123_260.png,segmentation-123_lesionmask_260.png
volume-6_339.png,segmentation-6_lesionmask_339.png
volume-88_550.png,segmentation-88_lesionmask_550.png
volume-19_432.png,segmentation-19_lesionmask_432.png
volume-129_99.png,segmentation-129_lesionmask_99.png
volume-112_700.png,segmentation-112_lesionmask_700.png
volume-6_364.png,segmentation-6_lesionmask_364.png
volume-92_469.png,segmentation-92_lesionmask_469.png
volume-35_65.png,segmentation-35_lesionmask_65.png
volume-84_666.png,segmentation-84_lesionmask_666.png
volume-5_510.png,segmentation-5_lesionmask_510.png
volume-124_244.png,segmentation-124_lesionmask_244.png
volume-112_402.png,segmentation-112_lesionmask_402.png
volume-10_358.png,segmentation-10_lesionmask_358.png
volume-82_513.png,segmentation-82_lesionmask_513.png
volume-39_28.png,segmentation-39_lesionmask_28.png
volume-4_534.png,segmentation-4_lesionmask_534.png
volume-22_232.png,segmentation-22_lesionmask_232.png
volume-128_559.png,segmentation-128_lesionmask_559.png
volume-26_50.png,segmentation-26_lesionmask_50.png
volume-108_591.png,segmentation-108_lesionmask_591.png
volume-94_591.png,segmentation-94_lesionmask_591.png
volume-69_117.png,segmentation-69_lesionmask_117.png
volume-3_361.png,segmentation-3_lesionmask_361.png
volume-20_562.png,segmentation-20_lesionmask_562.png
volume-124_374.png,segmentation-124_lesionmask_374.png
volume-128_565.png,segmentation-128_lesionmask_565.png
volume-6_342.png,segmentation-6_lesionmask_342.png
volume-117_76.png,segmentation-117_lesionmask_76.png
volume-75_66.png,segmentation-75_lesionmask_66.png
volume-37_63.png,segmentation-37_lesionmask_63.png
volume-39_60.png,segmentation-39_lesionmask_60.png
volume-107_517.png,segmentation-107_lesionmask_517.png
volume-96_618.png,segmentation-96_lesionmask_618.png
volume-121_232.png,segmentation-121_lesionmask_232.png
volume-95_398.png,segmentation-95_lesionmask_398.png
volume-0_70.png,segmentation-0_lesionmask_70.png
volume-99_554.png,segmentation-99_lesionmask_554.png
volume-101_490.png,segmentation-101_lesionmask_490.png
volume-96_694.png,segmentation-96_lesionmask_694.png
volume-15_509.png,segmentation-15_lesionmask_509.png
volume-109_89.png,segmentation-109_lesionmask_89.png
volume-83_264.png,segmentation-83_lesionmask_264.png
volume-115_543.png,segmentation-115_lesionmask_543.png
volume-4_428.png,segmentation-4_lesionmask_428.png
volume-26_305.png,segmentation-26_lesionmask_305.png
volume-96_27.png,segmentation-96_lesionmask_27.png
volume-122_371.png,segmentation-122_lesionmask_371.png
volume-6_500.png,segmentation-6_lesionmask_500.png
volume-10_204.png,segmentation-10_lesionmask_204.png
volume-87_715.png,segmentation-87_lesionmask_715.png
volume-101_383.png,segmentation-101_lesionmask_383.png
volume-82_400.png,segmentation-82_lesionmask_400.png
volume-39_32.png,segmentation-39_lesionmask_32.png
volume-21_340.png,segmentation-21_lesionmask_340.png
volume-116_532.png,segmentation-116_lesionmask_532.png
volume-4_437.png,segmentation-4_lesionmask_437.png
volume-40_72.png,segmentation-40_lesionmask_72.png
volume-116_377.png,segmentation-116_lesionmask_377.png
volume-94_540.png,segmentation-94_lesionmask_540.png
volume-100_504.png,segmentation-100_lesionmask_504.png
volume-51_109.png,segmentation-51_lesionmask_109.png
volume-97_78.png,segmentation-97_lesionmask_78.png
volume-37_48.png,segmentation-37_lesionmask_48.png
volume-99_339.png,segmentation-99_lesionmask_339.png
volume-96_451.png,segmentation-96_lesionmask_451.png
volume-116_522.png,segmentation-116_lesionmask_522.png
volume-3_348.png,segmentation-3_lesionmask_348.png
volume-130_67.png,segmentation-130_lesionmask_67.png
volume-93_413.png,segmentation-93_lesionmask_413.png
volume-110_522.png,segmentation-110_lesionmask_522.png
volume-80_37.png,segmentation-80_lesionmask_37.png
volume-97_572.png,segmentation-97_lesionmask_572.png
volume-103_389.png,segmentation-103_lesionmask_389.png
volume-11_374.png,segmentation-11_lesionmask_374.png
volume-124_174.png,segmentation-124_lesionmask_174.png
volume-18_417.png,segmentation-18_lesionmask_417.png
volume-18_429.png,segmentation-18_lesionmask_429.png
volume-104_572.png,segmentation-104_lesionmask_572.png
volume-124_195.png,segmentation-124_lesionmask_195.png
volume-109_313.png,segmentation-109_lesionmask_313.png
volume-26_474.png,segmentation-26_lesionmask_474.png
volume-123_244.png,segmentation-123_lesionmask_244.png
volume-99_400.png,segmentation-99_lesionmask_400.png
volume-11_107.png,segmentation-11_lesionmask_107.png
volume-108_576.png,segmentation-108_lesionmask_576.png
volume-117_319.png,segmentation-117_lesionmask_319.png
volume-23_316.png,segmentation-23_lesionmask_316.png
volume-116_898.png,segmentation-116_lesionmask_898.png
volume-27_314.png,segmentation-27_lesionmask_314.png
volume-32_49.png,segmentation-32_lesionmask_49.png
volume-100_510.png,segmentation-100_lesionmask_510.png
volume-116_619.png,segmentation-116_lesionmask_619.png
volume-114_833.png,segmentation-114_lesionmask_833.png
volume-39_54.png,segmentation-39_lesionmask_54.png
volume-109_751.png,segmentation-109_lesionmask_751.png
volume-117_203.png,segmentation-117_lesionmask_203.png
volume-82_369.png,segmentation-82_lesionmask_369.png
volume-101_606.png,segmentation-101_lesionmask_606.png
volume-98_578.png,segmentation-98_lesionmask_578.png
volume-126_381.png,segmentation-126_lesionmask_381.png
volume-19_430.png,segmentation-19_lesionmask_430.png
volume-98_529.png,segmentation-98_lesionmask_529.png
volume-107_725.png,segmentation-107_lesionmask_725.png
volume-102_42.png,segmentation-102_lesionmask_42.png
volume-71_2.png,segmentation-71_lesionmask_2.png
volume-16_431.png,segmentation-16_lesionmask_431.png
volume-108_564.png,segmentation-108_lesionmask_564.png
volume-86_476.png,segmentation-86_lesionmask_476.png
volume-82_503.png,segmentation-82_lesionmask_503.png
volume-90_741.png,segmentation-90_lesionmask_741.png
volume-122_329.png,segmentation-122_lesionmask_329.png
volume-84_376.png,segmentation-84_lesionmask_376.png
volume-106_379.png,segmentation-106_lesionmask_379.png
volume-110_554.png,segmentation-110_lesionmask_554.png
volume-6_340.png,segmentation-6_lesionmask_340.png
volume-97_145.png,segmentation-97_lesionmask_145.png
volume-19_74.png,segmentation-19_lesionmask_74.png
volume-88_298.png,segmentation-88_lesionmask_298.png
volume-124_13.png,segmentation-124_lesionmask_13.png
volume-120_255.png,segmentation-120_lesionmask_255.png
volume-108_240.png,segmentation-108_lesionmask_240.png
volume-94_545.png,segmentation-94_lesionmask_545.png
volume-27_461.png,segmentation-27_lesionmask_461.png
volume-67_163.png,segmentation-67_lesionmask_163.png
volume-118_280.png,segmentation-118_lesionmask_280.png
volume-12_417.png,segmentation-12_lesionmask_417.png
volume-20_412.png,segmentation-20_lesionmask_412.png
volume-128_546.png,segmentation-128_lesionmask_546.png
volume-6_396.png,segmentation-6_lesionmask_396.png
volume-78_165.png,segmentation-78_lesionmask_165.png
volume-114_402.png,segmentation-114_lesionmask_402.png
volume-127_940.png,segmentation-127_lesionmask_940.png
volume-93_448.png,segmentation-93_lesionmask_448.png
volume-104_432.png,segmentation-104_lesionmask_432.png
volume-80_31.png,segmentation-80_lesionmask_31.png
volume-13_315.png,segmentation-13_lesionmask_315.png
volume-67_128.png,segmentation-67_lesionmask_128.png
volume-21_368.png,segmentation-21_lesionmask_368.png
volume-128_77.png,segmentation-128_lesionmask_77.png
volume-99_16.png,segmentation-99_lesionmask_16.png
volume-17_659.png,segmentation-17_lesionmask_659.png
volume-117_174.png,segmentation-117_lesionmask_174.png
volume-25_310.png,segmentation-25_lesionmask_310.png
volume-33_51.png,segmentation-33_lesionmask_51.png
volume-94_6.png,segmentation-94_lesionmask_6.png
volume-74_81.png,segmentation-74_lesionmask_81.png
volume-121_258.png,segmentation-121_lesionmask_258.png
volume-90_14.png,segmentation-90_lesionmask_14.png
volume-100_478.png,segmentation-100_lesionmask_478.png
volume-19_428.png,segmentation-19_lesionmask_428.png
volume-88_305.png,segmentation-88_lesionmask_305.png
volume-84_442.png,segmentation-84_lesionmask_442.png
volume-27_463.png,segmentation-27_lesionmask_463.png
volume-17_384.png,segmentation-17_lesionmask_384.png
volume-5_324.png,segmentation-5_lesionmask_324.png
volume-103_525.png,segmentation-103_lesionmask_525.png
volume-93_441.png,segmentation-93_lesionmask_441.png
volume-1_58.png,segmentation-1_lesionmask_58.png
volume-11_31.png,segmentation-11_lesionmask_31.png
volume-129_195.png,segmentation-129_lesionmask_195.png
volume-16_536.png,segmentation-16_lesionmask_536.png
volume-117_410.png,segmentation-117_lesionmask_410.png
volume-84_534.png,segmentation-84_lesionmask_534.png
volume-87_292.png,segmentation-87_lesionmask_292.png
volume-116_75.png,segmentation-116_lesionmask_75.png
volume-20_215.png,segmentation-20_lesionmask_215.png
volume-99_486.png,segmentation-99_lesionmask_486.png
volume-27_400.png,segmentation-27_lesionmask_400.png
volume-110_755.png,segmentation-110_lesionmask_755.png
volume-84_462.png,segmentation-84_lesionmask_462.png
volume-62_86.png,segmentation-62_lesionmask_86.png
volume-9_398.png,segmentation-9_lesionmask_398.png
volume-129_60.png,segmentation-129_lesionmask_60.png
volume-113_713.png,segmentation-113_lesionmask_713.png
volume-84_204.png,segmentation-84_lesionmask_204.png
volume-126_177.png,segmentation-126_lesionmask_177.png
volume-104_570.png,segmentation-104_lesionmask_570.png
volume-16_315.png,segmentation-16_lesionmask_315.png
volume-115_24.png,segmentation-115_lesionmask_24.png
volume-130_170.png,segmentation-130_lesionmask_170.png
volume-95_392.png,segmentation-95_lesionmask_392.png
volume-27_528.png,segmentation-27_lesionmask_528.png
volume-100_516.png,segmentation-100_lesionmask_516.png
volume-123_225.png,segmentation-123_lesionmask_225.png
volume-92_27.png,segmentation-92_lesionmask_27.png
volume-127_386.png,segmentation-127_lesionmask_386.png
volume-84_605.png,segmentation-84_lesionmask_605.png
volume-106_384.png,segmentation-106_lesionmask_384.png
volume-33_95.png,segmentation-33_lesionmask_95.png
volume-109_391.png,segmentation-109_lesionmask_391.png
volume-69_128.png,segmentation-69_lesionmask_128.png
volume-109_172.png,segmentation-109_lesionmask_172.png
volume-100_312.png,segmentation-100_lesionmask_312.png
volume-22_135.png,segmentation-22_lesionmask_135.png
volume-88_188.png,segmentation-88_lesionmask_188.png
volume-96_502.png,segmentation-96_lesionmask_502.png
volume-19_463.png,segmentation-19_lesionmask_463.png
volume-84_214.png,segmentation-84_lesionmask_214.png
volume-110_427.png,segmentation-110_lesionmask_427.png
volume-113_567.png,segmentation-113_lesionmask_567.png
volume-103_555.png,segmentation-103_lesionmask_555.png
volume-49_11.png,segmentation-49_lesionmask_11.png
volume-95_829.png,segmentation-95_lesionmask_829.png
volume-11_299.png,segmentation-11_lesionmask_299.png
volume-111_331.png,segmentation-111_lesionmask_331.png
volume-108_805.png,segmentation-108_lesionmask_805.png
volume-35_53.png,segmentation-35_lesionmask_53.png
volume-17_438.png,segmentation-17_lesionmask_438.png
volume-38_36.png,segmentation-38_lesionmask_36.png
volume-9_402.png,segmentation-9_lesionmask_402.png
volume-24_201.png,segmentation-24_lesionmask_201.png
volume-130_486.png,segmentation-130_lesionmask_486.png
volume-122_209.png,segmentation-122_lesionmask_209.png
volume-13_392.png,segmentation-13_lesionmask_392.png
volume-106_742.png,segmentation-106_lesionmask_742.png
volume-118_30.png,segmentation-118_lesionmask_30.png
volume-109_400.png,segmentation-109_lesionmask_400.png
volume-111_414.png,segmentation-111_lesionmask_414.png
volume-26_359.png,segmentation-26_lesionmask_359.png
volume-13_193.png,segmentation-13_lesionmask_193.png
volume-120_216.png,segmentation-120_lesionmask_216.png
volume-13_238.png,segmentation-13_lesionmask_238.png
volume-44_112.png,segmentation-44_lesionmask_112.png
volume-87_733.png,segmentation-87_lesionmask_733.png
volume-78_3.png,segmentation-78_lesionmask_3.png
volume-27_250.png,segmentation-27_lesionmask_250.png
volume-128_532.png,segmentation-128_lesionmask_532.png
volume-67_125.png,segmentation-67_lesionmask_125.png
volume-4_57.png,segmentation-4_lesionmask_57.png
volume-69_166.png,segmentation-69_lesionmask_166.png
volume-28_52.png,segmentation-28_lesionmask_52.png
volume-120_306.png,segmentation-120_lesionmask_306.png
volume-6_27.png,segmentation-6_lesionmask_27.png
volume-126_91.png,segmentation-126_lesionmask_91.png
volume-18_119.png,segmentation-18_lesionmask_119.png
volume-26_442.png,segmentation-26_lesionmask_442.png
volume-84_610.png,segmentation-84_lesionmask_610.png
volume-90_474.png,segmentation-90_lesionmask_474.png
volume-92_78.png,segmentation-92_lesionmask_78.png
volume-65_338.png,segmentation-65_lesionmask_338.png
volume-78_103.png,segmentation-78_lesionmask_103.png
volume-93_339.png,segmentation-93_lesionmask_339.png
volume-96_468.png,segmentation-96_lesionmask_468.png
volume-24_147.png,segmentation-24_lesionmask_147.png
volume-100_589.png,segmentation-100_lesionmask_589.png
volume-128_530.png,segmentation-128_lesionmask_530.png
volume-64_48.png,segmentation-64_lesionmask_48.png
volume-113_422.png,segmentation-113_lesionmask_422.png
volume-70_285.png,segmentation-70_lesionmask_285.png
volume-90_388.png,segmentation-90_lesionmask_388.png
volume-70_280.png,segmentation-70_lesionmask_280.png
volume-88_449.png,segmentation-88_lesionmask_449.png
volume-21_38.png,segmentation-21_lesionmask_38.png
volume-70_71.png,segmentation-70_lesionmask_71.png
volume-44_94.png,segmentation-44_lesionmask_94.png
volume-4_494.png,segmentation-4_lesionmask_494.png
volume-118_257.png,segmentation-118_lesionmask_257.png
volume-116_567.png,segmentation-116_lesionmask_567.png
volume-50_184.png,segmentation-50_lesionmask_184.png
volume-96_624.png,segmentation-96_lesionmask_624.png
volume-106_236.png,segmentation-106_lesionmask_236.png
volume-90_334.png,segmentation-90_lesionmask_334.png
volume-23_349.png,segmentation-23_lesionmask_349.png
volume-127_555.png,segmentation-127_lesionmask_555.png
volume-128_553.png,segmentation-128_lesionmask_553.png
volume-39_51.png,segmentation-39_lesionmask_51.png
volume-65_399.png,segmentation-65_lesionmask_399.png
volume-82_467.png,segmentation-82_lesionmask_467.png
volume-61_178.png,segmentation-61_lesionmask_178.png
volume-14_118.png,segmentation-14_lesionmask_118.png
volume-27_724.png,segmentation-27_lesionmask_724.png
volume-90_343.png,segmentation-90_lesionmask_343.png
volume-44_58.png,segmentation-44_lesionmask_58.png
volume-97_551.png,segmentation-97_lesionmask_551.png
volume-83_166.png,segmentation-83_lesionmask_166.png
volume-65_136.png,segmentation-65_lesionmask_136.png
volume-117_377.png,segmentation-117_lesionmask_377.png
volume-38_34.png,segmentation-38_lesionmask_34.png
volume-55_130.png,segmentation-55_lesionmask_130.png
volume-109_428.png,segmentation-109_lesionmask_428.png
volume-7_293.png,segmentation-7_lesionmask_293.png
volume-97_563.png,segmentation-97_lesionmask_563.png
volume-129_126.png,segmentation-129_lesionmask_126.png
volume-130_523.png,segmentation-130_lesionmask_523.png
volume-6_86.png,segmentation-6_lesionmask_86.png
volume-63_83.png,segmentation-63_lesionmask_83.png
volume-84_643.png,segmentation-84_lesionmask_643.png
volume-127_475.png,segmentation-127_lesionmask_475.png
volume-50_176.png,segmentation-50_lesionmask_176.png
volume-117_463.png,segmentation-117_lesionmask_463.png
volume-26_335.png,segmentation-26_lesionmask_335.png
volume-4_355.png,segmentation-4_lesionmask_355.png
volume-100_649.png,segmentation-100_lesionmask_649.png
volume-116_466.png,segmentation-116_lesionmask_466.png
volume-13_254.png,segmentation-13_lesionmask_254.png
volume-0_26.png,segmentation-0_lesionmask_26.png
volume-105_979.png,segmentation-105_lesionmask_979.png
volume-70_4.png,segmentation-70_lesionmask_4.png
volume-88_455.png,segmentation-88_lesionmask_455.png
volume-126_230.png,segmentation-126_lesionmask_230.png
volume-110_460.png,segmentation-110_lesionmask_460.png
volume-26_353.png,segmentation-26_lesionmask_353.png
volume-100_538.png,segmentation-100_lesionmask_538.png
volume-52_200.png,segmentation-52_lesionmask_200.png
volume-94_276.png,segmentation-94_lesionmask_276.png
volume-9_543.png,segmentation-9_lesionmask_543.png
volume-4_491.png,segmentation-4_lesionmask_491.png
volume-127_888.png,segmentation-127_lesionmask_888.png
volume-3_214.png,segmentation-3_lesionmask_214.png
volume-10_369.png,segmentation-10_lesionmask_369.png
volume-17_466.png,segmentation-17_lesionmask_466.png
volume-86_542.png,segmentation-86_lesionmask_542.png
volume-84_100.png,segmentation-84_lesionmask_100.png
volume-118_315.png,segmentation-118_lesionmask_315.png
volume-27_51.png,segmentation-27_lesionmask_51.png
volume-17_402.png,segmentation-17_lesionmask_402.png
volume-91_490.png,segmentation-91_lesionmask_490.png
volume-130_558.png,segmentation-130_lesionmask_558.png
volume-104_332.png,segmentation-104_lesionmask_332.png
volume-94_624.png,segmentation-94_lesionmask_624.png
volume-116_497.png,segmentation-116_lesionmask_497.png
volume-129_275.png,segmentation-129_lesionmask_275.png
volume-84_553.png,segmentation-84_lesionmask_553.png
volume-118_311.png,segmentation-118_lesionmask_311.png
volume-23_327.png,segmentation-23_lesionmask_327.png
volume-90_488.png,segmentation-90_lesionmask_488.png
volume-6_344.png,segmentation-6_lesionmask_344.png
volume-75_71.png,segmentation-75_lesionmask_71.png
volume-12_339.png,segmentation-12_lesionmask_339.png
volume-31_45.png,segmentation-31_lesionmask_45.png
volume-122_261.png,segmentation-122_lesionmask_261.png
volume-130_443.png,segmentation-130_lesionmask_443.png
volume-21_389.png,segmentation-21_lesionmask_389.png
volume-68_232.png,segmentation-68_lesionmask_232.png
volume-41_20.png,segmentation-41_lesionmask_20.png
volume-81_253.png,segmentation-81_lesionmask_253.png
volume-116_607.png,segmentation-116_lesionmask_607.png
volume-4_539.png,segmentation-4_lesionmask_539.png
volume-64_43.png,segmentation-64_lesionmask_43.png
volume-90_317.png,segmentation-90_lesionmask_317.png
volume-129_179.png,segmentation-129_lesionmask_179.png
volume-97_533.png,segmentation-97_lesionmask_533.png
volume-27_836.png,segmentation-27_lesionmask_836.png
volume-26_536.png,segmentation-26_lesionmask_536.png
volume-88_547.png,segmentation-88_lesionmask_547.png
volume-102_423.png,segmentation-102_lesionmask_423.png
volume-113_461.png,segmentation-113_lesionmask_461.png
volume-84_41.png,segmentation-84_lesionmask_41.png
volume-96_522.png,segmentation-96_lesionmask_522.png
volume-129_64.png,segmentation-129_lesionmask_64.png
volume-17_289.png,segmentation-17_lesionmask_289.png
volume-105_679.png,segmentation-105_lesionmask_679.png
volume-51_80.png,segmentation-51_lesionmask_80.png
volume-3_149.png,segmentation-3_lesionmask_149.png
volume-51_119.png,segmentation-51_lesionmask_119.png
volume-108_588.png,segmentation-108_lesionmask_588.png
volume-33_80.png,segmentation-33_lesionmask_80.png
volume-113_507.png,segmentation-113_lesionmask_507.png
volume-104_430.png,segmentation-104_lesionmask_430.png
volume-48_175.png,segmentation-48_lesionmask_175.png
volume-82_376.png,segmentation-82_lesionmask_376.png
volume-129_113.png,segmentation-129_lesionmask_113.png
volume-11_144.png,segmentation-11_lesionmask_144.png
volume-129_201.png,segmentation-129_lesionmask_201.png
volume-130_460.png,segmentation-130_lesionmask_460.png
volume-116_340.png,segmentation-116_lesionmask_340.png
volume-20_491.png,segmentation-20_lesionmask_491.png
volume-115_642.png,segmentation-115_lesionmask_642.png
volume-4_717.png,segmentation-4_lesionmask_717.png
volume-27_197.png,segmentation-27_lesionmask_197.png
volume-110_521.png,segmentation-110_lesionmask_521.png
volume-109_438.png,segmentation-109_lesionmask_438.png
volume-117_393.png,segmentation-117_lesionmask_393.png
volume-85_209.png,segmentation-85_lesionmask_209.png
volume-100_406.png,segmentation-100_lesionmask_406.png
volume-93_351.png,segmentation-93_lesionmask_351.png
volume-115_367.png,segmentation-115_lesionmask_367.png
volume-119_149.png,segmentation-119_lesionmask_149.png
volume-84_10.png,segmentation-84_lesionmask_10.png
volume-92_72.png,segmentation-92_lesionmask_72.png
volume-5_107.png,segmentation-5_lesionmask_107.png
volume-94_315.png,segmentation-94_lesionmask_315.png
volume-110_752.png,segmentation-110_lesionmask_752.png
volume-129_85.png,segmentation-129_lesionmask_85.png
volume-57_332.png,segmentation-57_lesionmask_332.png
volume-81_19.png,segmentation-81_lesionmask_19.png
volume-109_459.png,segmentation-109_lesionmask_459.png
volume-6_355.png,segmentation-6_lesionmask_355.png
volume-98_543.png,segmentation-98_lesionmask_543.png
volume-128_539.png,segmentation-128_lesionmask_539.png
volume-27_613.png,segmentation-27_lesionmask_613.png
volume-103_17.png,segmentation-103_lesionmask_17.png
volume-23_216.png,segmentation-23_lesionmask_216.png
volume-27_507.png,segmentation-27_lesionmask_507.png
volume-109_457.png,segmentation-109_lesionmask_457.png
volume-84_519.png,segmentation-84_lesionmask_519.png
volume-93_358.png,segmentation-93_lesionmask_358.png
volume-116_412.png,segmentation-116_lesionmask_412.png
volume-116_750.png,segmentation-116_lesionmask_750.png
volume-35_26.png,segmentation-35_lesionmask_26.png
volume-20_325.png,segmentation-20_lesionmask_325.png
volume-62_119.png,segmentation-62_lesionmask_119.png
volume-84_484.png,segmentation-84_lesionmask_484.png
volume-21_385.png,segmentation-21_lesionmask_385.png
volume-91_418.png,segmentation-91_lesionmask_418.png
volume-50_144.png,segmentation-50_lesionmask_144.png
volume-84_401.png,segmentation-84_lesionmask_401.png
volume-110_422.png,segmentation-110_lesionmask_422.png
volume-110_553.png,segmentation-110_lesionmask_553.png
volume-129_196.png,segmentation-129_lesionmask_196.png
volume-89_325.png,segmentation-89_lesionmask_325.png
volume-79_91.png,segmentation-79_lesionmask_91.png
volume-33_118.png,segmentation-33_lesionmask_118.png
volume-87_423.png,segmentation-87_lesionmask_423.png
volume-93_437.png,segmentation-93_lesionmask_437.png
volume-82_370.png,segmentation-82_lesionmask_370.png
volume-85_131.png,segmentation-85_lesionmask_131.png
volume-68_256.png,segmentation-68_lesionmask_256.png
volume-53_63.png,segmentation-53_lesionmask_63.png
volume-129_204.png,segmentation-129_lesionmask_204.png
volume-18_430.png,segmentation-18_lesionmask_430.png
volume-21_237.png,segmentation-21_lesionmask_237.png
volume-88_484.png,segmentation-88_lesionmask_484.png
volume-8_516.png,segmentation-8_lesionmask_516.png
volume-21_260.png,segmentation-21_lesionmask_260.png
volume-9_425.png,segmentation-9_lesionmask_425.png
volume-84_533.png,segmentation-84_lesionmask_533.png
volume-13_114.png,segmentation-13_lesionmask_114.png
volume-110_781.png,segmentation-110_lesionmask_781.png
volume-16_597.png,segmentation-16_lesionmask_597.png
volume-109_753.png,segmentation-109_lesionmask_753.png
volume-98_492.png,segmentation-98_lesionmask_492.png
volume-35_63.png,segmentation-35_lesionmask_63.png
volume-57_326.png,segmentation-57_lesionmask_326.png
volume-92_97.png,segmentation-92_lesionmask_97.png
volume-111_356.png,segmentation-111_lesionmask_356.png
volume-128_237.png,segmentation-128_lesionmask_237.png
volume-114_578.png,segmentation-114_lesionmask_578.png
volume-88_483.png,segmentation-88_lesionmask_483.png
volume-13_349.png,segmentation-13_lesionmask_349.png
volume-13_337.png,segmentation-13_lesionmask_337.png
volume-116_525.png,segmentation-116_lesionmask_525.png
volume-125_108.png,segmentation-125_lesionmask_108.png
volume-122_306.png,segmentation-122_lesionmask_306.png
volume-39_128.png,segmentation-39_lesionmask_128.png
volume-110_219.png,segmentation-110_lesionmask_219.png
volume-96_614.png,segmentation-96_lesionmask_614.png
volume-126_229.png,segmentation-126_lesionmask_229.png
volume-100_54.png,segmentation-100_lesionmask_54.png
volume-128_490.png,segmentation-128_lesionmask_490.png
volume-107_277.png,segmentation-107_lesionmask_277.png
volume-96_330.png,segmentation-96_lesionmask_330.png
volume-39_131.png,segmentation-39_lesionmask_131.png
